,contrast,dissimilarity,homogeneity,ASM,energy,label
2812,0.21221526796659995,0.18871029071530573,0.9995164915996081,0.9824086116254207,0.9911652796710652,1
2813,0.21446703169556813,0.1912433723807294,0.9994029383851859,0.9832700318987405,0.9915997337125199,1
2814,0.08186070747332669,0.23962952554907577,0.9885801166123278,0.9806745097542534,0.9902901139334136,1
2815,0.15311347717189278,0.13575600383168687,0.9997419238539816,0.9903541966862357,0.995165411721205,1
2816,0.1895844538188931,0.16987103249856184,0.9993050954539091,0.9869057880025717,0.9934313202242877,1
2817,0.08377259881891587,0.07502215088408909,0.9997488204523168,0.9888522107920337,0.9944104840517488,1
2818,0.16772058378895965,0.14903106910200872,0.9996470524193944,0.9881806409176334,0.9940727543382489,1
2819,0.16529081337087584,0.1468758030070212,0.999660171301616,0.988526473566145,0.994246686474813,1
2820,0.21485278248313985,0.1904963279573671,0.999615091700782,0.9805767695128905,0.9902407634070063,1
2821,0.1037220329228951,0.09196374453114274,0.9998433895765413,0.9816931233588047,0.9908042810559535,1
2822,0.2049744936333403,0.18173787609725825,0.9996353848452941,0.9830728397191268,0.9915002973873113,1
2823,0.2919991895898638,0.5003486928215725,0.989627940964029,0.9808276879755968,0.9903674509875596,1
2824,0.39936653172070313,0.6344009357771564,0.990294974925679,0.9647211230211999,0.9822021803178811,1
2825,0.44957349326096796,0.6849965294218712,0.9899669359122644,0.969669750663337,0.9847181072080154,1
2826,0.19082509677573176,0.45979397729707183,0.9939907673165816,0.9960698078237787,0.9980329693070156,1
2827,0.329844453178463,0.5415554134188142,0.9903837031372016,0.9637382260237659,0.9817016991040433,1
2828,0.17855798747073587,0.2711037092457778,0.9947869995695124,0.9915932946665529,0.9957877759174154,1
2829,0.2092964138382076,0.35638597276032247,0.993217971770847,0.9929038689653874,0.9964456176658046,1
2830,0.3135769362313844,0.5029567131125369,0.9924649328440521,0.9748618617908612,0.9873509314275553,1
2831,0.35420160645596954,0.5401210022587838,0.9880291681907625,0.9757729516621889,0.9878122046533886,1
2832,0.2643227822783056,0.42654171858727224,0.9915065779105225,0.9846656776485063,0.9923032186023111,1
2833,0.2513399137628388,0.4145448252488346,0.9937343850173999,0.979221747296188,0.9895563386165475,1
2834,0.8572015358042183,0.7718436051109945,0.9966444515467777,0.9803586501145153,0.9901306227536422,1
2835,0.21596895074871103,0.36616604885143994,0.9918324845995903,0.9710413995052669,0.9854143288512031,1
2836,0.15119995170162684,0.25506438445634494,0.9942179909590343,0.9942932130786108,0.9971425239546304,1
2837,0.33726793166191793,0.5513354895099318,0.9918542756404408,0.9707375564826638,0.985260146602238,1
2838,0.22390920622860577,0.3407378510145347,0.9935701432812629,0.9922095750224723,0.9960971714759923,1
2839,0.25419487596415197,0.39928790654669116,0.993322535724031,0.9832850282765887,0.991607295392984,1
2840,0.5434533018407552,0.7871005238131382,0.9908946403489817,0.9763101774005377,0.9880840942958942,1
2841,0.3496665422561864,0.5264288957312189,0.9918045804336013,0.9711186261361066,0.9854535129249409,1
2842,0.4642035884525863,0.6861701385528057,0.9873802549549395,0.9657818012661943,0.9827419810236023,1
2843,0.8553985839170865,0.7773204477220205,0.9961595218288363,0.9814355171718746,0.9906742740032541,1
2844,0.1217626959859051,0.2156832780627785,0.9958557535355279,0.996379067353185,0.9981878918085435,1
2845,0.33244333392171915,0.496175860356029,0.9929069365027127,0.9821325092501859,0.9910259881810293,1
2846,0.24112722372270712,0.37659813001529874,0.9938756949699393,0.9763879204245131,0.9881234337999037,1
2847,0.1307653434607126,0.22259453183383474,0.9957907751099788,0.9973067192789389,0.9986524516962538,1
2848,0.07534389439275628,0.1671741006508356,0.9937961180765256,0.9865875557424215,0.993271139086615,1
2849,0.6025192976057011,0.9031574267610663,0.9861939143759383,0.9622834618704991,0.9809604792602497,1
2850,0.56942019239177,0.7899693461332001,0.9866134642345844,0.9630428168515553,0.981347449607709,1
2851,0.11525395892695174,0.20407758776798565,0.9940577887841869,0.9929810341386984,0.9964843371266295,1
2852,0.18015618954343052,0.26627887170749304,0.9958406244773865,0.9918254145050377,0.9959043199550033,1
2853,0.8924854080522052,0.8093990973008858,0.9963092416677367,0.9791527492288185,0.9895214748699587,1
2854,0.18982614838529238,0.27188611533306706,0.9959399980865606,0.9924418440078853,0.9962137541752196,1
2855,0.20177286748769657,0.2826441990332965,0.9948897856254048,0.9885114581873654,0.9942391353127098,1
2856,0.28998052944752106,0.4343657794601662,0.991552982396131,0.9692857153094068,0.9845230902875799,1
2857,0.17401773243058688,0.23550423227410996,0.9954305011636514,0.9956835240236852,0.9978394279761074,1
2858,0.14830980713783284,0.23146180082311454,0.9954180188809484,0.9965335595879306,0.998265275158828,1
2859,0.1161444764297452,0.2081200192189809,0.9935192000847274,0.989127093988718,0.9945486885963492,1
2860,0.5186307032104285,0.48235335281391595,0.996144092982412,0.988452991092335,0.9942097319440876,1
2861,0.222256788712088,0.20120876544792443,0.9987736596779855,0.9962310026765316,0.9981137223165162,1
2862,0.554664940271326,0.5021743070252476,0.9976946789225217,0.9892260563486036,0.9945984397477222,1
2863,0.4404694917574117,0.6352110931101048,0.9902626612818896,0.9828640017065425,0.9913949776484356,1
2864,0.44631238156633213,0.7038965202512785,0.9840341734733674,0.9641062145066075,0.9818891049943509,1
2865,0.26897507966542417,0.4159858012196662,0.9935711563521895,0.9892588009715572,0.9946149008392929,1
2866,0.4006873610470658,0.6476054559024972,0.9877160550450139,0.9808884358129816,0.9903981198553344,1
2867,0.09131399761189121,0.22529336534088074,0.9943801240471135,0.9968979993019158,0.998447794980747,1
2868,0.3857831952913164,0.5580045415491611,0.9899077834575528,0.9800539066535715,0.9899767202583964,1
2869,0.9862888792950457,0.8941370783199251,0.9961851561697008,0.9730223227526865,0.9864189387641978,1
2870,0.34066297486891123,0.5080397665423297,0.99158032763695,0.9776281685963153,0.9887508121849079,1
2871,0.19629414445238738,0.28558677600803895,0.9957694591428378,0.9913196249190075,0.9956503527438774,1
2872,0.3632247982026146,0.5620068878675379,0.9911384349673668,0.9803579331738347,0.9901302607100917,1
2873,0.17188100673630335,0.2717722258123518,0.9939696009245599,0.9801319434209744,0.9900161329094462,1
2874,0.26672917606705787,0.4205045793210592,0.9942696561918992,0.9848432439982701,0.9923926863889465,1
2875,0.4400771867047604,0.6708448861382326,0.9911240798020161,0.98202851010077,0.9909735163468144,1
