,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params
0,0.8686424085853784,0.8497841576949084,0.8191048119561698,0.8458762232089848,0.020418234664964195,2,0.2822294235229492,0.008600299011526402,0.006277561187744141,0.0004984096914903252,0.06610098295419149,37,97,"OrderedDict([('learning_rate', 0.06610098295419149), ('max_depth', 37), ('n_estimators', 97)])"
1,0.8801794632867824,0.8526370480767875,0.8104794864811634,0.8478114409088967,0.02866830543233791,1,0.13093463579813638,0.005839734743501674,0.003988424936930339,0.0008138104108667474,0.4729080547055919,44,65,"OrderedDict([('learning_rate', 0.4729080547055919), ('max_depth', 44), ('n_estimators', 65)])"
2,0.8517088705287871,0.8470732747841183,0.8045494644568908,0.8344684289568437,0.021217961626101615,8,0.1593761444091797,0.009503936800194726,0.002986272176106771,0.0008003876428755819,0.07756486208064789,46,55,"OrderedDict([('learning_rate', 0.07756486208064789), ('max_depth', 46), ('n_estimators', 55)])"
3,0.8656194971383073,0.8409757211935069,0.824373752879767,0.8436875658046207,0.016953017959756674,6,0.1488219896952311,0.008617177838739071,0.0036902427673339844,0.00044466238969402175,0.42149456283334996,9,80,"OrderedDict([('learning_rate', 0.42149456283334996), ('max_depth', 9), ('n_estimators', 80)])"
4,0.8618152595401384,0.8433130387527783,0.8068249785908582,0.8373526060460077,0.0228488548178183,7,0.13926164309183756,0.003549947828546428,0.0039988358815511065,0.0008026462256740827,0.3972893133963027,22,76,"OrderedDict([('learning_rate', 0.3972893133963027), ('max_depth', 22), ('n_estimators', 76)])"
5,0.8732653939936238,0.8418148711778832,0.8191048119561698,0.8447689522643955,0.022216981448101518,4,0.1347071329752604,0.00355256040587174,0.002982934315999349,2.382701835815876e-05,0.29380287142759304,47,58,"OrderedDict([('learning_rate', 0.29380287142759304), ('max_depth', 47), ('n_estimators', 58)])"
6,0.8783035875454339,0.8441919671858862,0.8119982238298505,0.8448788730737686,0.027082960949216778,3,0.19485648473103842,0.004547729181967174,0.0040187835693359375,0.0007773096061283884,0.1714583803805369,39,68,"OrderedDict([('learning_rate', 0.1714583803805369), ('max_depth', 39), ('n_estimators', 68)])"
7,0.8732653939936238,0.8447172093378728,0.8141532628712117,0.8440868536065823,0.024145057774995066,5,0.20402812957763672,0.0009318600051265939,0.004397869110107422,0.00029064466733112526,0.12212543829922852,46,75,"OrderedDict([('learning_rate', 0.12212543829922852), ('max_depth', 46), ('n_estimators', 75)])"
8,0.854505755573345,0.844692039986665,0.7968929763801559,0.8320622281501736,0.025163114856627717,9,0.14419825871785483,0.0057554612410516594,0.0046850840250651045,0.001089636523501647,0.8146216961026963,35,94,"OrderedDict([('learning_rate', 0.8146216961026963), ('max_depth', 35), ('n_estimators', 94)])"
9,0.8349557099973381,0.8419461534215634,0.7767021087833895,0.8178922975893791,0.029234520518313892,10,0.29364967346191406,0.004618563685952567,0.0046536922454833984,0.001242477260139981,0.010168587136004645,41,87,"OrderedDict([('learning_rate', 0.010168587136004645), ('max_depth', 41), ('n_estimators', 87)])"
