model,precision,recall,f1,accuracy,under_sampler
RandomForestClassifier,0.8916518650088809,0.8189233278955954,0.8630243926062511,0.8633836378077839,repeated_edited_nearest_neighbours
LogisticRegressionCV,0.8935281837160751,0.6982055464926591,0.8098558423879506,0.812549642573471,repeated_edited_nearest_neighbours
SVC,0.7992831541218638,0.7275693311582382,0.7777155670075058,0.778395552025417,repeated_edited_nearest_neighbours
SVC,0.7992831541218638,0.7275693311582382,0.7777155670075058,0.778395552025417,repeated_edited_nearest_neighbours
SVC,0.7992831541218638,0.7275693311582382,0.7777155670075058,0.778395552025417,repeated_edited_nearest_neighbours
KNeighborsClassifier,0.9662027833001988,0.7928221859706363,0.8844736287209383,0.8856235107227959,repeated_edited_nearest_neighbours
KNeighborsClassifier,0.9662027833001988,0.7928221859706363,0.8844736287209383,0.8856235107227959,repeated_edited_nearest_neighbours
KNeighborsClassifier,0.9662027833001988,0.7928221859706363,0.8844736287209383,0.8856235107227959,repeated_edited_nearest_neighbours
