iter	Passed	Remaining
189	672	2867
190	676	2865
191	679	2860
192	682	2852
193	685	2848
194	688	2841
195	690	2833
196	693	2826
197	698	2828
198	701	2822
199	704	2816
200	706	2809
201	710	2807
202	713	2800
203	715	2793
204	719	2790
205	724	2794
206	727	2787
207	731	2785
208	734	2780
209	737	2774
210	741	2772
211	744	2767
212	749	2769
213	753	2765
214	755	2759
215	758	2753
216	762	2750
217	765	2746
218	768	2741
219	771	2736
220	775	2732
221	777	2726
222	780	2720
223	784	2717
224	788	2715
225	790	2708
226	793	2702
227	801	2712
228	804	2709
229	807	2703
230	811	2700
231	815	2698
232	817	2691
233	820	2684
234	824	2684
235	828	2682
236	831	2676
237	835	2673
238	838	2668
239	841	2663
240	843	2657
241	847	2655
242	851	2651
243	853	2645
244	856	2638
245	860	2636
246	864	2634
247	867	2629
248	869	2622
249	873	2619
250	875	2613
251	878	2607
252	881	2604
253	885	2599
254	888	2595
255	894	2598
256	898	2596
257	902	2594
258	905	2590
259	909	2588
260	913	2586
261	917	2585
262	924	2589
263	926	2584
264	931	2583
265	936	2583
266	943	2591
267	948	2591
268	953	2590
269	958	2591
270	963	2592
271	967	2589
272	974	2594
273	980	2598
274	987	2604
275	992	2604
276	996	2601
277	1001	2601
278	1006	2600
279	1013	2606
280	1017	2602
281	1021	2601
282	1027	2603
283	1031	2601
284	1034	2596
285	1040	2598
286	1046	2599
287	1050	2597
288	1054	2595
289	1060	2596
290	1066	2597
291	1071	2598
292	1077	2600
293	1082	2599
294	1085	2594
295	1089	2591
296	1094	2590
297	1098	2587
298	1101	2583
299	1106	2581
300	1110	2578
301	1116	2579
302	1121	2579
303	1125	2576
304	1130	2577
305	1135	2576
306	1144	2584
307	1150	2585
308	1155	2584
309	1159	2579
310	1163	2578
311	1172	2584
312	1176	2582
313	1182	2583
314	1187	2582
315	1191	2579
316	1196	2577
317	1201	2576
318	1204	2571
319	1209	2571
320	1213	2566
321	1216	2561
322	1219	2556
323	1223	2552
324	1226	2546
325	1229	2541
326	1233	2538
327	1236	2533
328	1242	2533
329	1247	2533
330	1250	2527
331	1255	2526
332	1260	2524
333	1263	2520
334	1268	2517
335	1273	2516
336	1277	2514
337	1283	2513
338	1290	2516
339	1296	2516
340	1301	2514
341	1307	2515
342	1310	2510
343	1313	2505
344	1320	2506
345	1324	2504
346	1328	2500
347	1332	2496
348	1337	2494
349	1340	2489
350	1344	2486
351	1349	2483
352	1352	2479
353	1359	2481
354	1364	2480
355	1369	2478
356	1374	2475
357	1378	2472
358	1386	2475
359	1390	2472
360	1395	2469
361	1399	2466
362	1404	2464
363	1408	2461
364	1412	2457
365	1415	2452
366	1419	2447
367	1424	2447
368	1428	2442
369	1433	2441
370	1438	2438
371	1441	2433
372	1445	2429
373	1450	2428
374	1453	2423
375	1456	2417
376	1461	2414
377	1466	2413
378	1473	2413
379	1479	2413
380	1483	2410
381	1488	2408
382	1493	2405
383	1498	2403
384	1502	2400
385	1506	2396
386	1511	2393
387	1515	2390
388	1522	2391
389	1526	2386
390	1529	2381
391	1535	2381
392	1538	2376
393	1542	2372
394	1545	2367
395	1549	2363
396	1556	2363
397	1562	2362
398	1567	2360
399	1572	2358
400	1576	2354
401	1580	2350
402	1585	2348
403	1590	2347
404	1597	2346
405	1604	2347
406	1612	2349
407	1620	2351
408	1626	2349
409	1630	2346
410	1634	2343
411	1639	2339
412	1648	2343
413	1659	2348
414	1669	2353
415	1679	2357
416	1691	2365
417	1702	2370
418	1712	2374
419	1719	2375
420	1728	2376
421	1739	2382
422	1747	2383
423	1751	2379
424	1757	2377
425	1761	2373
426	1764	2367
427	1769	2364
428	1772	2359
429	1776	2355
430	1783	2354
431	1790	2354
432	1795	2351
433	1799	2347
434	1803	2341
435	1808	2338
436	1812	2334
437	1815	2329
438	1818	2324
439	1821	2317
440	1823	2311
441	1828	2308
442	1831	2302
443	1834	2296
444	1839	2293
445	1842	2288
446	1845	2283
447	1850	2279
448	1853	2274
449	1856	2268
450	1859	2263
451	1863	2258
452	1866	2254
453	1869	2248
454	1872	2243
455	1876	2238
456	1879	2232
457	1883	2228
458	1886	2224
459	1890	2218
460	1896	2217
461	1900	2212
462	1903	2207
463	1906	2202
464	1910	2197
465	1914	2193
466	1918	2189
467	1922	2185
468	1925	2180
469	1930	2176
470	1935	2173
471	1938	2168
472	1941	2163
473	1944	2158
474	1950	2156
475	1954	2151
476	1957	2146
477	1960	2140
478	1963	2135
479	1966	2130
480	1969	2124
481	1973	2121
482	1976	2115
483	1979	2110
484	1981	2104
485	1985	2099
486	1988	2094
487	1991	2089
488	1994	2083
489	1998	2080
490	2013	2087
491	2017	2082
492	2022	2079
493	2025	2074
494	2028	2069
495	2031	2064
496	2035	2059
497	2038	2054
498	2042	2050
499	2045	2045
500	2048	2040
501	2052	2036
502	2059	2034
503	2062	2029
504	2065	2024
505	2071	2022
506	2074	2017
507	2077	2011
508	2079	2006
509	2085	2003
510	2088	1998
511	2091	1993
512	2093	1987
513	2099	1984
514	2102	1980
515	2105	1974
516	2109	1970
517	2111	1964
518	2114	1959
519	2117	1954
520	2122	1951
521	2125	1946
522	2128	1941
523	2130	1935
524	2134	1931
525	2137	1926
526	2140	1921
527	2143	1916
528	2147	1912
529	2150	1907
530	2153	1902
531	2158	1898
532	2161	1894
533	2164	1888
534	2167	1883
535	2171	1879
536	2174	1875
537	2177	1869
538	2180	1864
539	2186	1862
540	2191	1859
541	2198	1858
542	2202	1853
543	2205	1848
544	2209	1844
545	2213	1840
546	2216	1835
547	2218	1830
548	2223	1826
549	2226	1821
550	2229	1816
551	2232	1811
552	2236	1807
553	2239	1803
554	2242	1798
555	2245	1792
556	2250	1789
557	2253	1785
558	2258	1781
559	2265	1780
560	2269	1775
561	2272	1770
562	2275	1766
563	2278	1761
564	2281	1756
565	2284	1751
566	2287	1747
567	2290	1742
568	2293	1737
569	2297	1733
570	2300	1728
571	2302	1723
572	2305	1718
573	2309	1714
574	2314	1710
575	2317	1705
576	2320	1700
577	2324	1697
578	2328	1693
579	2331	1687
580	2334	1683
581	2338	1679
582	2341	1674
583	2344	1669
584	2348	1666
585	2351	1661
586	2354	1656
587	2356	1651
588	2360	1647
589	2364	1642
590	2367	1638
591	2369	1633
592	2374	1629
593	2378	1625
594	2380	1620
595	2383	1615
596	2387	1611
597	2390	1606
598	2393	1602
599	2396	1597
600	2401	1594
601	2404	1589
602	2407	1584
603	2410	1580
604	2414	1576
605	2417	1571
606	2419	1566
607	2422	1562
608	2426	1557
609	2428	1552
610	2431	1548
611	2435	1544
612	2439	1539
613	2441	1535
614	2444	1530
615	2449	1527
616	2452	1522
617	2455	1517
618	2458	1513
619	2461	1508
620	2464	1504
621	2467	1499
622	2473	1496
623	2476	1492
624	2478	1487
625	2481	1482
626	2486	1479
627	2490	1475
628	2493	1470
629	2496	1466
630	2501	1463
631	2505	1458
632	2507	1454
633	2510	1449
634	2514	1445
635	2518	1441
636	2521	1436
637	2523	1431
638	2527	1428
639	2530	1423
640	2533	1419
641	2537	1414
642	2540	1410
643	2542	1405
644	2545	1401
645	2549	1396
646	2553	1392
647	2555	1388
648	2558	1383
649	2562	1379
650	2565	1375
651	2567	1370
652	2570	1365
653	2574	1362
654	2577	1357
655	2580	1353
656	2583	1348
657	2588	1345
658	2592	1341
659	2595	1336
660	2598	1332
661	2601	1328
662	2603	1323
663	2606	1318
664	2609	1314
665	2613	1310
666	2616	1306
667	2618	1301
668	2623	1297
669	2626	1293
670	2629	1289
671	2632	1284
672	2636	1280
673	2638	1276
674	2643	1272
675	2647	1268
676	2650	1264
677	2654	1260
678	2657	1256
679	2661	1252
680	2665	1248
681	2667	1243
682	2670	1239
683	2675	1236
684	2679	1232
685	2682	1227
686	2687	1224
687	2690	1219
688	2692	1215
689	2695	1210
690	2698	1206
691	2701	1202
692	2703	1197
693	2707	1193
694	2711	1189
695	2714	1185
696	2718	1181
697	2721	1177
698	2725	1173
699	2735	1172
700	2738	1168
701	2741	1163
702	2745	1159
703	2749	1155
704	2752	1151
705	2756	1147
706	2759	1143
707	2762	1139
708	2764	1134
709	2772	1132
710	2781	1130
711	2784	1126
712	2787	1121
713	2791	1117
714	2794	1113
715	2797	1109
716	2802	1106
717	2806	1102
718	2809	1097
719	2812	1093
720	2816	1089
721	2819	1085
722	2822	1081
723	2826	1077
724	2830	1073
725	2833	1069
726	2837	1065
727	2841	1061
728	2843	1057
729	2846	1052
730	2849	1048
731	2853	1044
732	2855	1040
733	2858	1035
734	2862	1032
735	2866	1028
736	2868	1023
737	2871	1019
738	2876	1016
739	2880	1012
740	2883	1007
741	2886	1003
742	2892	1000
743	2896	996
744	2898	992
745	2903	988
746	2907	984
747	2909	980
748	2912	976
749	2915	971
750	2918	967
751	2921	963
752	2925	959
753	2928	955
754	2931	951
755	2934	947
756	2938	943
757	2942	939
758	2945	935
759	2947	930
760	2950	926
761	2953	922
762	2956	918
763	2960	914
764	2963	910
765	2966	906
766	2969	902
767	2975	898
768	2977	894
769	2980	890
770	2983	886
771	2987	882
772	2989	877
773	2993	873
774	2996	870
775	3000	865
776	3002	861
777	3005	857
778	3009	853
779	3012	849
780	3015	845
781	3018	841
782	3023	838
783	3026	833
784	3029	829
785	3031	825
786	3036	821
787	3039	817
788	3042	813
789	3045	809
790	3050	806
791	3054	802
792	3057	797
793	3059	793
794	3064	790
795	3067	786
796	3069	781
797	3072	777
798	3076	773
799	3080	770
800	3082	765
801	3085	761
802	3089	757
803	3093	754
804	3096	750
805	3101	746
806	3104	742
807	3107	738
808	3110	734
809	3114	730
810	3117	726
811	3120	722
812	3125	718
813	3129	715
814	3132	710
815	3135	707
816	3139	703
817	3142	699
818	3144	694
819	3148	691
820	3151	687
821	3154	683
822	3156	678
823	3162	675
824	3165	671
825	3168	667
826	3171	663
827	3175	659
828	3177	655
829	3180	651
830	3184	647
831	3187	643
832	3190	639
833	3192	635
834	3196	631
835	3199	627
836	3202	623
837	3205	619
838	3209	615
839	3212	611
840	3215	607
841	3218	603
842	3224	600
843	3227	596
844	3229	592
845	3232	588
846	3236	584
847	3239	580
848	3242	576
849	3245	572
850	3249	568
851	3251	564
852	3254	560
853	3259	557
854	3264	553
855	3267	549
856	3271	545
857	3275	542
858	3278	538
859	3280	534
860	3285	530
861	3288	526
862	3291	522
863	3293	518
864	3297	514
865	3300	510
866	3303	506
867	3306	502
868	3310	499
869	3313	495
870	3316	491
871	3319	487
872	3326	483
873	3330	480
874	3333	476
875	3338	472
876	3341	468
877	3344	464
878	3348	460
879	3350	456
880	3353	452
881	3356	449
882	3360	445
883	3363	441
884	3366	437
885	3369	433
886	3372	429
887	3375	425
888	3378	421
889	3380	417
890	3384	413
891	3387	410
892	3390	406
893	3392	402
894	3398	398
895	3401	394
896	3404	390
897	3408	387
898	3411	383
899	3414	379
900	3417	375
901	3421	371
902	3424	367
903	3427	363
904	3430	360
905	3435	356
906	3438	352
907	3440	348
908	3443	344
909	3448	341
910	3451	337
911	3454	333
912	3457	329
913	3461	325
914	3464	321
915	3469	318
916	3472	314
917	3475	310
918	3478	306
919	3482	302
920	3485	299
921	3488	295
922	3493	291
923	3495	287
924	3498	283
925	3501	279
926	3505	276
927	3508	272
928	3511	268
929	3516	264
930	3519	260
931	3522	256
932	3524	253
933	3529	249
934	3532	245
935	3535	241
936	3538	237
937	3542	234
938	3545	230
939	3548	226
940	3551	222
941	3555	218
942	3558	215
943	3561	211
944	3567	207
945	3570	203
946	3573	200
947	3576	196
948	3579	192
949	3582	188
950	3584	184
951	3587	180
952	3591	177
953	3593	173
954	3596	169
955	3599	165
956	3603	161
957	3606	158
958	3609	154
959	3614	150
960	3617	146
961	3620	143
962	3622	139
963	3628	135
964	3631	131
965	3634	127
966	3638	124
967	3641	120
968	3644	116
969	3646	112
970	3651	109
971	3654	105
972	3657	101
973	3660	97
974	3664	93
975	3668	90
976	3670	86
977	3673	82
978	3677	78
979	3680	75
980	3683	71
981	3686	67
982	3692	63
983	3696	60
984	3699	56
985	3703	52
986	3706	48
987	3709	45
988	3712	41
989	3716	37
990	3720	33
991	3723	30
992	3726	26
993	3729	22
994	3732	18
995	3735	15
996	3740	11
997	3743	7
998	3746	3
999	3749	0
